Source,Date,Title,Content,Name,Rating,Version
Razer Game Deals,19/04/2018,,Great way to compile together the best price on a game as well as notifications on when your wishlisted item goes on sale,Ryan Orne-Zaluski,5,
Razer Game Deals,16/04/2018,,Noice,Mlg Bannana846,5,
Razer Game Deals,12/04/2018,,Love it.,Trishena Lewin,5,
Razer Game Deals,07/04/2018,,I cant connect my steam account its very awful,Freak Id,1,
Razer Game Deals,06/04/2018,,Why does not have Malaysia Currency? Better I use Steam.,Mavic_Pro 23,1,
Razer Game Deals,06/04/2018,,I can't link my steam account... Nice work,Lars BG,1,
Razer Game Deals,06/04/2018,,"Does not let me link my Steam account or Gog account, even though it had an option for me to do so. It also does not notify me on my phone when a game on my wish list is on sale.",Matthew McCrobie,1,
Razer Game Deals,05/04/2018,,Found a deal in the app that I could not figure out how to get. Tried to work with Razer Support on Twitter but they blew me off. Garbage app provides false information.,Rojen Gaming,1,
Razer Game Deals,02/04/2018,,"This was a great app, but the discount now lists in reverse making it impossible to see them. Razer refuse to acknowledge or fix this bug, and it has ruined their app",Tim Luxford,2,
Razer Game Deals,02/04/2018,,Dope!,Jake E,5,
Razer Game Deals,01/04/2018,,Great app saved so much money than buying from steam or the stores. Well worth the download. Just wish more newer games were available.,Darren McNamara,4,
Razer Game Deals,29/03/2018,,Really enjoy the app. Saves me the trouble of doing it through other websites.,Nicholas Ixo,5,
Razer Game Deals,26/03/2018,,Good App overall. But can't Sync Steam wishlist if you have Steamguard enabled.,Thisun Hemakumara,4,
Razer Game Deals,26/03/2018,,Just back into PC gaming from a 10-year hiatus and this app is perfect for tracking sales to make sure I get the best deal on each new game I purchase.,Kenney Newville,5,
Razer Game Deals,24/03/2018,,Lol,bobthedud,4,
Razer Game Deals,17/03/2018,,"Used to love the app, now it crashes at startup",Jose Arriola,1,
Razer Game Deals,14/03/2018,,"SORT GAMES BY RATING please. This app is perfect, the only thing is lacking is sorting games by metacritic ratings please add this feature. Thank you",AmmarQz,5,
Razer Game Deals,14/03/2018,,The perfect companion while buying a new game. Use it to have all different offers on latest games delivered right before your eyes. It lists the pricing of all vendors together for you to compare and purchase. Must have for PC gamers,Ankush,5,
Razer Game Deals,13/03/2018,,Great but you can't sync your steam wishlist if you have steam guard.,Neel,5,
Razer Game Deals,13/03/2018,,La aplicacion dejó de funcionar,Victor Memoria,2,
Razer Game Deals,10/03/2018,,This is cool,Frank starr1,5,
Razer Game Deals,08/03/2018,,Why? What is the purpose?,vzr,2,
Razer Game Deals,05/03/2018,,Good way to keep up on all the sales and discounts!?,Daniel Sear,5,
Razer Game Deals,04/03/2018,,"Razer is love, Razer is life.",A Google user,5,
Razer Game Deals,23/02/2018,,When I'm looking for a new game on a budget this is the first place I look.,Jose Hernandez,5,
Razer Game Deals,16/02/2018,,Forced to install the app just to cancel emails,Chris Schmidt,1,
Razer Game Deals,15/02/2018,,"This can be one of the most useful app for gamers, if only it can communicate with the server properly and stable.",Wilbert Soetanto,2,
Razer Game Deals,08/02/2018,,Good except I can't seem to sync my steam account,Isaac Myers,2,
Razer Game Deals,07/02/2018,,Can't connect steam account.  Login only takes us to ween version of steam. I wanted to use this to track my wishlist games,David Pinheiro,1,
Razer Game Deals,02/02/2018,,This app is great. Rich interface for comparison of prices of games over different sites. Its just like what trivago guy says all the time but for games and i cant be more accurate 😂,ZekromInfinty,4,
Razer Game Deals,01/02/2018,,While this app is great... One thing I am mad about is the fact that we cannot claim are daily zsilver... If this was added it would change this app forever,Unknownkillerdude I Lik Pancakes,3,
Razer Game Deals,25/01/2018,,Bug bug bug,first light capture,1,
Razer Game Deals,24/01/2018,,it show a great deal,linzhuo hua,3,
Razer Game Deals,22/01/2018,,Love it,Jordan Erfourth,5,
Razer Game Deals,20/01/2018,,Gimme free razer blackwindow chroma,JustFirst _,5,
Razer Game Deals,20/01/2018,,"Won't connect to Steam. Wasted a lot of time trying to, but no luck. App takes me to the steam page, I log in to Steam successfully. And it just sits there. No error, no sync.",Joseph Formichella,1,
Razer Game Deals,19/01/2018,,Awesome,Muhammad Harris Ayub,5,
Razer Game Deals,19/01/2018,,Works well seems to be accurate and its just nice to have one place to go to look for deals from reliable sellers,Daniel Cameron,5,
Razer Game Deals,18/01/2018,,"Amazing App,  for Amazing Deals!",Legit Name,5,
Razer Game Deals,17/01/2018,,It's an epic idea and we'll made app,Nathan Winterton,5,
Razer Game Deals,13/01/2018,,Awesome nice UI,Uchith Isanka,5,
Razer Game Deals,12/01/2018,,"I used Cortex on the computer many months before getting this app, so account setup and wish list configurations were all imported rather than manually setting them. Perhaps that process isn't user friendly, but I can't see a reason not to give this 5 stars in daily use. The deals are pretty dang good sometimes. It'd be nice if they included more sources like bundled products on your wish list. Also, the prices are already pretty well set in the game industry, so you can judge a deal by its % savings with this app. I recommend it to anyone who plays pc games, for sure.",Jamison W.,5,
Razer Game Deals,11/01/2018,,Edit:Dropped another star as the constant notifications are so annoying I've had to block them all.   Please stop notifying about each and every game from large wishlists during sales. My phone hasn't stopped annoying me for the past 10 minutes! It's still going as I write this every 10 seconds or so!,Lucid Enigma,3,
Razer Game Deals,10/01/2018,,Steam wishlist is not syncing,BLAKE MARS,4,
Razer Game Deals,10/01/2018,,Amazing.,Andrew Barrett,5,
Razer Game Deals,09/01/2018,,I was told by a friend this app is good but so far haven't seen any difference to this and g2a apart from g2a being cheaper,kinghaloboy,2,
Razer Game Deals,09/01/2018,,"I love Cortex, can't find better deals anywhere else",Tyler Ali,5,
Razer Game Deals,08/01/2018,,That app is suit the place what it meant for it.,So Pyay,4,
Razer Game Deals,04/01/2018,,"Can't log in. Can't send pw reset link. Failed connection multiple times. Uninstalled, reinstalled, still nothing. Uninstalling all together.",Jose Mejia,1,
Razer Game Deals,28/12/2017,,"Love this app, shows great deals on great games",Nathan Beveridge,5,
Razer Game Deals,28/12/2017,,ok,Jo ker,5,
Razer Game Deals,26/12/2017,,MUST FIX LAG ISSUES!! It takes much time to change from page to page. Everything but that is perfect!!,Rage,5,
Razer Game Deals,25/12/2017,,Words,Tony Bycroft,5,
Razer Game Deals,23/12/2017,,I like it! I don't really check for deals on games but this gets the job done and that is why I like it...,Eitan,5,
Razer Game Deals,21/12/2017,,Do exactly what it says,Divine Root,5,
Razer Game Deals,21/12/2017,,Great app for keeping track of sales across multiple sites,Collin Grant,5,
Razer Game Deals,21/12/2017,,All game discounts in one place with broken sort that makes it useless,Pramod Srinivasa,2,
Razer Game Deals,20/12/2017,,App is good but cannot sync with Steam Account...,Hemal Patel,4,
Razer Game Deals,20/12/2017,,"Refused to connect to steam, amking I kind of useless for me personally.",Iժʀɩvеα ᎢΔᏒᎠIᏚ,2,
Razer Game Deals,19/12/2017,,Very good app,Fatty Potter Channel,5,
Razer Game Deals,19/12/2017,,Has a few good games and keeps itself up-to-date. Doesn't have the greatest deals but it's nice to see some more sales on popular games.,HawnChawn,4,
Razer Game Deals,19/12/2017,,If i could enter the app i might be able to tell if it was any good but all i get is a green screen,Chantelle Chitty,1,
Razer Game Deals,18/12/2017,,Awesome,Daan Thielemans,5,
Razer Game Deals,18/12/2017,,"Half the features don't work in the app, can't get anything to work",Hashem Dodokh,1,
Razer Game Deals,17/12/2017,,Can't Sync my Steam Account,Andrew Oldring,5,
Razer Game Deals,17/12/2017,,Love it gotten 5 games for free already,Gloomba,5,
Razer Game Deals,12/12/2017,,"A surprisingly good and helpful app. Only one small issue, the search button on the top right occasionally has problems detecting when I press it requiring multiple presses until I find the &quot;sweet spot&quot;. Fix this and you have an exceptional app",Beau Jackson,4,
Razer Game Deals,11/12/2017,,Crashes every time i start it for the last 3 days. I really liked it up until this happened,Diogo Magalhães,2,
Razer Game Deals,11/12/2017,,After the update it gets crashed everytime i open it and the steam account linking seems to take a week to load.  But those things aside its an awesome app.,Suyash Shrestha,4,
Razer Game Deals,10/12/2017,,"Still need improvement,  i can't connect link to steam,   i has been login but when back nothing happened, this app can't sync steam library.",putra 86,1,
Razer Game Deals,07/12/2017,,"Not a bad little app for finding deals, though linking your Steam account can be an exercise in patience. And there's the problem it doesn't remove what you bought from your wish list. All in all though it's not bad.",Travis Hesseltine,4,
Razer Game Deals,04/12/2017,,make it link to steam!!!!!!!!!,dAwsome 75,3,
Razer Game Deals,03/12/2017,,I think this is a good way for PC Gamers to save money for more games! This is a great idea because I can get games I want sooner. 😃,iGamerPro YT,4,
Razer Game Deals,03/12/2017,,Its quite usefull for a site which combines prices of games from different websites to give you the best deals. 5/7,THOMAS THEDANK,3,
Razer Game Deals,02/12/2017,,Veryy good,Dana Suria Agasta,5,
Razer Game Deals,01/12/2017,,"Well done fixing local pricing currency issue, guys! Now, can you please add an option to sort wishlist, by discount for example. Thanks a lot!",Andriy Shura,5,
Razer Game Deals,30/11/2017,,Cant sync my steam,,1,
Razer Game Deals,30/11/2017,,Hey thats pretty good,Freezing alex,5,
Razer Game Deals,29/11/2017,,Bring Cortex with you on the go! The app is a little buggy with the UI,Davii Mai,4,
Razer Game Deals,28/11/2017,,I think it is a amazing way to find cheap amazing games from your favorite publishers,Christian channel,5,
Razer Game Deals,28/11/2017,,This app is amazing and a lifesaver for me. One problem is that I can't seem to link my steam account to the app.  Please fix this,Snake eyes Alpha,4,
Razer Game Deals,28/11/2017,,Very amazing app.,Mohamed Roshdy,5,
Razer Game Deals,28/11/2017,,Doesn't log into steam,Cor Rupt,3,
Razer Game Deals,26/11/2017,,"I love it and have gotten a lot of great deals from it, definetly an app to have for gamers!!",Foxtrot336,5,
Razer Game Deals,26/11/2017,,Like it a lot.,Jacob Nutt,5,
Razer Game Deals,26/11/2017,,They lied about the prices,ashton chambers,1,
Razer Game Deals,26/11/2017,,"Does what it is suppose to, do not give much notification unless for the games in ur wish list.",shashank karkare,5,
Razer Game Deals,25/11/2017,,Good,Mouse Steering Is Lit,5,
Razer Game Deals,25/11/2017,,Thought it would be lame and generic but it's kinda awesome. That fact that it sends me a notification in my phone when a game on my wish list is on sale is amazing. Saving me time from scroll in through all the sites,Mr. Genck,5,
Razer Game Deals,24/11/2017,,"While the app is a little bit glitchy at times, it is still an excellent way to find game deals and especially find the free Humble Bundle, origin on the house, and Uplay givaway games. Please add support for G2A though!",Noah Spam,4,
Razer Game Deals,23/11/2017,,Great app...but please add India as one of the supported region,Siva Jayakumar,3,
Razer Game Deals,23/11/2017,,Amazing app however if you dont have self control i dont recommend downloading!,Robert Pridemore,5,
Razer Game Deals,22/11/2017,,This is cool,A Google user,5,
Razer Game Deals,22/11/2017,,Great app. Took 3 weeks for my steam wish list to show up�,Cortez Ashley,4,
Razer Game Deals,22/11/2017,,Great to track deals on games,David Sengstock,5,
Razer Game Deals,22/11/2017,,Can not link my steam account,Martin Marte,1,
Razer Game Deals,21/11/2017,,AMAZING!,Rohit Choudhari,5,
Razer Game Deals,21/11/2017,,Nice,ABhishek Pancholi,5,
Razer Game Deals,21/11/2017,,"The best app for people that plan on buying a certain game, but wish some more sites were on it, like gamebillet",Wheatley 1665,5,
Razer Game Deals,21/11/2017,,Really helpful app that lets you know of amazing deals that you definitely won't pass!,Jo C,5,
Razer Game Deals,21/11/2017,,It provides you the most efficient way to track down your most wanted games,J�zsef Kov�cs,5,
Razer Game Deals,20/11/2017,,Pretty good way of keeping up with game sales. Very useful.,Aj Armer,5,
Razer Game Deals,16/11/2017,,It's cool.,Darwin Uy,5,
Razer Game Deals,16/11/2017,,Great for wishlist deals. Worth trying out!,Mufucn Money,5,
Razer Game Deals,15/11/2017,,THIS GAME SUCKS ASS,Hejmainthewoodmadebyhoodbecausethehoodisgood,1,
Razer Game Deals,14/11/2017,,Good app with some minor flaws easy to look over,Willie Young,4,
Razer Game Deals,12/11/2017,,Great at rounding up deals but I can't for the life of me get it to link with my steam account. I sign in to steam through the app then it just sits on my steam profile and does nothing. It won't sync. I'll rate higher if/when I ever get that to work,Ryan Lee,3,
Razer Game Deals,12/11/2017,,I got pizza,Dmitry Simmons,5,
Razer Game Deals,11/11/2017,,Can't recommemd this enough to any PC gamer. This keeps track of any game on any wishlist that you may have.,Grab Yo Kotch The Ugly Streamer,5,
Razer Game Deals,11/11/2017,,Nice that you make a android app too! :),Victor S,4,
Razer Game Deals,09/11/2017,,Great app!,Overlord Jewsh,5,
Razer Game Deals,05/11/2017,,This app is perfect! Before I had to manually search all the PC gaming websites for the best price like some kind of peasant! Now I look for steals like a king!,GuessTat2,5,
Razer Game Deals,05/11/2017,,Great for any games that actually cares about getting the best price on games,cameron duns,5,
Razer Game Deals,04/11/2017,,Great app. I go to work after I wake up so having notification on new deals and showing me when the deal while I'm at work is awesome!,Tuvan Tran,5,
Razer Game Deals,03/11/2017,,10-Oct,Doge,5,
Razer Game Deals,03/11/2017,,An amazing app for PC gamers. A must have!,Amyr,5,
Razer Game Deals,03/11/2017,,Fantastic app to make sure you never miss a great deal. I've saved myself a lot of money by adding games to my wishlist on cortex and simply waiting to be notified of a sale!,Sleipnir Ikkarin,5,
Razer Game Deals,03/11/2017,,"Great app, found it really helpful.",marcelo gomes,5,
Razer Game Deals,01/11/2017,,it's great to get notified about discount on games,stuff,5,
Razer Game Deals,31/10/2017,,Baller,legend16,5,
Razer Game Deals,27/10/2017,,"A useful mobile version of Razer Cortex to let you know when games you want are on sale. Quick and fairly easy to use, though load times tend to be long. Absolutely suggest it though.",Dylan P,5,
Razer Game Deals,27/10/2017,,Great app I use to track deals for games on my steam wishlist,Kaleb Ercanbrack,5,
Razer Game Deals,27/10/2017,,Still need to add more sites and keep up to date all time.,Peter Dasher,4,
Razer Game Deals,20/10/2017,,Great app that notifies you as soon as something you want is on sale which is wonderful.,343 Guilty Spark,5,
Razer Game Deals,20/10/2017,,Can't even sync into steam and don't have even all those currency.,Jason Tay,3,
Razer Game Deals,12/10/2017,,It's great! I get updates of sales across multiple stores according to my wish list. Which Syncs with Cortex! Can't recommend enough,Scott Chapman,5,
Razer Game Deals,10/10/2017,,New update completely broke app. Use to be really good but now it crashes whenever I try to launch it.,Jack Krapf,1,
Razer Game Deals,03/10/2017,,Great to find sales on your game wishlist from different places,Darren Robertson,4,
Razer Game Deals,27/09/2017,,Useless. Cant sync my steam account or any account. it just shows my steam profile after login.,Artyom Abramovich,1,
Razer Game Deals,26/09/2017,,It a very gooood,Josh Pye,5,
Razer Game Deals,25/09/2017,,It's perfect,Emil Abrahamsson,5,
Razer Game Deals,24/09/2017,,It can't sync my steam account. It let me log in but after I see only my profile and it does nothing.,Matteo Casiraghi,4,
Razer Game Deals,23/09/2017,,You can't even synq up your steam account with it no matter what you try to do,antony sanderson,3,
Razer Game Deals,23/09/2017,,It's cool,comeonkhan,4,
Razer Game Deals,20/09/2017,,Awesome offers,Cap MonkeyMan,5,
Razer Game Deals,18/09/2017,,Very great ap that shows the current prices of other stores and let's us make comparisons.,Gaminoes,1,
Razer Game Deals,14/09/2017,,Always crashes when I load it up. I use Cortex on PC but this was a bit of a let down.,SkyWarrior :3,1,
Razer Game Deals,03/09/2017,,Lit works good yeah,Blash The Spartan,5,
Razer Game Deals,29/08/2017,,Tells you when PC games are on sale from the major vendors. What more could you want?,Jason Wilson,4,
Razer Game Deals,24/08/2017,,Fantastic deals for steam I love this app,ALEXANDER VINCENT,5,
Razer Game Deals,24/08/2017,,Great!,Syed Humayun,5,
Razer Game Deals,17/08/2017,,Never pay full price. A great way to save a bundle on some good games!,Alex Puffer,5,
Razer Game Deals,16/08/2017,,Sir I need help to sign in to the app. Not sure if the app have problems or not. The app will crash when I click sign in. Im using OPPO R7s. Maybe the app is not compitable with my phone. Regards MUHD HAZIM Zaini.,MUHD HAZIM Zaini,1,
Razer Game Deals,15/08/2017,,Razer Iz Incredible,PhantomOfTheBlockera,5,
Razer Game Deals,12/08/2017,,Good app - I like the layout. Should set up a receive notification when the game gets to certain price range. Should also include bundles... Unless you have and I just didn't see,n3cko,5,
Razer Game Deals,12/08/2017,,Pretty convenient application.,A Google user,4,
Razer Game Deals,11/08/2017,,Great app. Until i noticed that 90% of the prices this app quotes are wrong. Some games are more expensive than advertised and others ive found are cheaper. Its really annoying when your looking through the list looking for a deal and skip a game you really want as its too pricy only to find its nearly £10 cheaper than quoted.,Thomas Morledge,2,
Razer Game Deals,08/08/2017,,It is a really good app very good :D,TripSwitch Gamer,5,
Razer Game Deals,07/08/2017,,Great for finding the perfect deal on new and old pc titles,R187J,5,
Razer Game Deals,06/08/2017,,Fantastic,E13E,5,
Razer Game Deals,03/08/2017,,Love the app and your products,Firecat 4K,5,
Razer Game Deals,27/07/2017,,Great deals. Excellent UI and the best thing... its from Razer!,Ruturaj Bhosale,5,
Razer Game Deals,26/07/2017,,Good app but I wish the interface was more fluid and I'd like to be able to check my zsilver balance,Reno Chaston,4,
Razer Game Deals,23/07/2017,,This is awesome. I'm always looking for deals by searching them online. I hate doing that all of the time so I have razer cortex to notify me if something on my wishlist is on sale. I also get better prices on games.,ShotFire7,5,
Razer Game Deals,22/07/2017,,Great for finding deals and gauging the market value of games. Would totally recommend that you use this or another service before buying a game from anywhere.,Jason Owens,4,
Razer Game Deals,21/07/2017,,Love it,Jeff Watkins,5,
Razer Game Deals,08/07/2017,,Plz make boost for phones,ajgame life,5,
Razer Game Deals,04/07/2017,,10-Sep,Joshua Lower,5,
Razer Game Deals,29/06/2017,,Amazing Loved This Game,OwenWarrior7870,5,
Razer Game Deals,28/06/2017,,Great for sniping games at the best price but it has an issue where it will refuse to load any notifications past the first 10 or so,Stuart Sotelo,4,
Razer Game Deals,27/06/2017,,I Like This App Because Every Once In A While You Can Actually Get A Free Game From Origin,Megabro55 Gamer,5,
Razer Game Deals,19/06/2017,,Really useful for tracking deals. Haven't had any problems with it.,Silas Miller,5,
Razer Game Deals,08/06/2017,,Very easy to use lets me compare prices from all my favorite sources! :D,Jurie van der Schyff,5,
Razer Game Deals,06/06/2017,,Saves me time looking for good deals with games I love! Go go Razer!! 👍👍,Jed Saquilayan,5,
Razer Game Deals,03/06/2017,,Great way to keep track of your favourite game's discounts on various platforms and sellers.,Dominik Figlhuber,5,
Razer Game Deals,02/06/2017,,good game,Shaun Mckee,5,
Razer Game Deals,31/05/2017,,Great app but why it does not have Indian currency.,Dhruv Parihar,5,
Razer Game Deals,30/05/2017,,It lets me know when games that are pretty high priced get a nice sale price and it also lets me know when games that are on your wishlist from steam and other sites on sale,Shadow PlaysMC,5,
Razer Game Deals,24/05/2017,,It makes findind the best deals on pc games that much easier. Plus they have their own little reward system when you play select games using cortex. 👍,Seth Albers,5,
Razer Game Deals,20/05/2017,,Excelente! Integrado com o do pc você mantém um controle de quais jogos da sua wishlist estão em promoção.,Guilherme Vasconcelos,5,
Razer Game Deals,18/05/2017,,Great app,Glenn Thornton,5,
Razer Game Deals,15/05/2017,,Saves me time from checking my wish lists from all the major PC game vendors looking for sales. Saves me the annoyance of having to sign up to a bunch of mailing lists to receive sale notifications. Great app!,Cameron Brown,5,
Razer Game Deals,15/05/2017,,Check for deals daily.,Payhem Seht,5,
Razer Game Deals,01/05/2017,,Nice,Jørgen Holgersen,5,
Razer Game Deals,29/04/2017,,Awesome way to find deals,Sas Siri,4,
Razer Game Deals,29/04/2017,,Great,Kane Day,5,
Razer Game Deals,27/04/2017,,I am going to travel for the next few days installed this app thinking I could login daily for rewards but no such feature in this app which mean my 40 silver coins daily will be restart from 5. Useless app and idiot Razer.,Emimarson Khalil,1,
Razer Game Deals,22/04/2017,,Useful for finding deals.,Benjamin Handelman,5,
Razer Game Deals,18/04/2017,,Cool,Mike Gr,5,
Razer Game Deals,17/04/2017,,This is great! Saves me a ton of money. Razer for the win!,Colby Landauer,5,
Razer Game Deals,16/04/2017,,best app to get the best deals out there 😁😁,Basir S. Radifan,5,
Razer Game Deals,14/04/2017,,razer lover,ralph kelvin dugay,5,
Razer Game Deals,14/04/2017,,Good for seeing when there are deals on games,DaddyFranku,4,
Razer Game Deals,13/04/2017,,Pretty awesome. Wouldn't have expected an app from razer to work so well.,Andrew White,5,
Razer Game Deals,13/04/2017,,Exceedingly useful!! Love it,oshua John Israel,5,
Razer Game Deals,12/04/2017,,A Budget gamer's Must-Have,A1phaFr0stW01f,5,
Razer Game Deals,10/04/2017,,Great app but would be even better if I could claim my daily zsilver on the mobile app rather than for me to on my computer everyday,Ryan yap,4,
Razer Game Deals,25/03/2017,,"Hey great app, introduced me to zsilver, was curious in how many people actively use this app (how many people used it this week for example)",Eli Lopez,5,
Razer Game Deals,21/03/2017,,"Sadly not up to par yet. Definitely built entirely for Americans (no alternative currencies, no non-US amazon), no compatibility outside Windows (Mac at minimum although console would be a pie in the sky dream). Not worth keeping at this point.",A Google user,3,
Razer Game Deals,14/03/2017,,"This is an app I have been wanting for a long time, no longer do I have to continously check steam humble bundle and green man gaming for sales, this app takes them all and puts it into one app. This is a must download for pc gamers.",Sky Borax,5,
Razer Game Deals,14/03/2017,,Its good,Sky Borax,4,
Razer Game Deals,09/03/2017,,"This is a really well designed app that is very easy and simple to use and is one of the best gaming deals apps I've seen. However, I would like if it included things like bundles when looking for the prices of games because often you can actually buy games cheaper as part of a bundle (such as humble bundle) than otherwise. Likewise for things like the revealed game on humble monthly or the like. Apart from that, it's a really great app.",Carl Buchanan,4,
Razer Game Deals,24/02/2017,,"No way to sort games by OS compatibility(I'm a Linux gamer) but other than that, really nice.",Emily,4,
Razer Game Deals,14/02/2017,,"Genius idea, came across this randomly. Love razer, love that I don't have to use dealshark and I can just open up an app for this sort of thing now. Quick and easy and always up to date on deals! :D",Couric Krien,5,
Razer Game Deals,12/02/2017,,"Great app I love razer and it's products,  but for some reason im having issues linking my steam account. Any suggestions?",Frank Monte,4,
Razer Game Deals,17/01/2017,,Update didn't resolve. Doesn't work 100%. Pre set lists work but search appears to fail still as well as all games.,Eric Hawkins,2,
Razer Game Deals,17/01/2017,,"Could be smoother The app is very useful and really helps you save money,  but it could be more optimized and with less lag",Aleksandar Aleksic,4,
Razer Game Deals,17/01/2017,,Good app Very useful in getting best deals in a single app which saves browsing time and money but the UI could have been better for small phones.,Jhoola K.G,5,
Razer Game Deals,16/01/2017,,Works after reinstall Patch 2.1.13 crashes. After uninstall and fresh install cortex app works again,Dennis Kauffunger,4,
Razer Game Deals,16/01/2017,,App works again After the update the app is working again. Though I had to uninstall/reinstall it manually.,Raymond Spee,4,
Razer Game Deals,16/01/2017,,Great app Perfect place to find games on sale. Would it be possible in any way to include consoles/console games?,moe,5,
Razer Game Deals,16/01/2017,,I would like to use this but can't It keeps crashing on me,Destin Ramsey,3,
Razer Game Deals,16/01/2017,,Not opening I had to reinstall it everytime to make it run... Fix it plz,ohit bara,2,
Razer Game Deals,15/01/2017,,Crashing Used it once now will not open,Zaphyr1276,1,
Razer Game Deals,13/01/2017,,Crash New update is crashing the app. Please fix,Nabeel Hussain,1,
Razer Game Deals,12/01/2017,,Test your update.,Vinh Nguyen,1,
Razer Game Deals,07/01/2017,,I like money.,Daniel Wolk,5,
Razer Game Deals,28/12/2016,,Good app Needs to add ps4 and Xbox prices and would be a 5 star.,Justin Thomas,4,
Razer Game Deals,21/12/2016,,"Cheap ass games! So easy to find games that dont cost a huge amount, love it!",pamela salim,5,
Razer Game Deals,22/12/2016,,Love it. very useful product good to have it.,mahsa movahedi,5,
Razer Game Deals,20/12/2016,,A lot of discounts. Like it,Roman Sentsov,5,
Razer Game Deals,19/12/2016,,Review app Simple and straight forward to use. Love it,Nyan Zhe Chen,5,
Razer Game Deals,16/12/2016,,All the deals in one app! I feel that the required login account is redundant as purchases cannot be made directly from the app. Still deserves a 5 star rating though.,Lien Jian Yao,5,
Razer Game Deals,16/12/2016,,superb! this is THE way to shop your games if you are eager to get the best deals.,tom kaboom,5,
Razer Game Deals,16/12/2016,,Love it,Irene Ng,5,
Razer Game Deals,15/12/2016,,A must have APP If you are a gamer and want to save some money this is your app,Vitor Martins,5,
Razer Game Deals,15/12/2016,,Games on the cheap If you hate yourself and your hard earned money i would be careful. This app showcases the best deals on tons of games and it will make you second guess your life decisions when you look back and see everything you bought on sale. It's like the steam sale is always going on!,James Huynh,5,
Razer Game Deals,15/12/2016,,"Already picked up 3 games from this. Integrations with Steam,  GoG,  etc lets me keep notifications in one place, ",Tom T,5,
Razer Game Deals,15/12/2016,,"Clean UI Clean,  simple,  to the point,  and could save me money. I respect it.",Brad Richardson,5,
Razer Game Deals,14/12/2016,,"Bargain Hunter's Must Have No one likes paying more for the same product. So this app really solves that problem,  and does it with a pretty good,  clean design. Easy to navigate and intuitive enough that it doesn't require too much effort to learn.",Dennis Xie,5,
Razer Game Deals,14/12/2016,,There's more to life than steam Nice app. I got lazy and just shopped on steam but now I realize there's a lot of good deals on other stores. 5 stars for helping lazy people save money,Kai Pham,5,
Razer Game Deals,14/12/2016,,New ui is very sleek I miss the dark themes but the light theme is very clean and sleek looking. This app is great because it will even show you the free games available from different services.,Maxfield Atturio,5,
Razer Game Deals,14/12/2016,,Great improvement Much better than the previous app in terms of fluidity and light colored design. Time to find games for sales again! However there are two cortex apps available in the app store.,Shiyi Han,5,
Razer Game Deals,14/12/2016,,"Great useful app! It's so easy to use. More importantly,  now I don't have to search high and low for bargains any more.",anntiong ong,5,
Razer Game Deals,14/12/2016,,"Easy to use and it saves me money,  plus I found games that I didn't know when existed for really cheap that were fun as hell!",v27v,5,
Razer Game Deals,14/12/2016,,I'm lovin' it Best game deals app! Very convenient to use..there's no need for you to browse other deal sites. It's all here.,GradientInk RCS,5,
